category_id,parameter_category,parameter_id,parameter_name,parameter_synonyms,parameter_description,units
G4,Concentrations,Q174,Cmax/dose,"[""Cmax (dn)"", ""dose-normalised Cmax"", ""Cmax per dose"", ""normalised Cmax""]",Dose-normalised highest drug concentration observed following administration of a dose. ,mass/volume
G4,Concentrations,Q33,Cmax_ratio,"[""peak concentration ratio""]","The ratio of highest drug concentrations (including drug interactions, bioequivalence, metabolite versus parent).",
G4,Concentrations,Q36,Cmin,"[""minimum observed concentration""]",The minimum drug concentration reached during a dosing interval.,mass/volume
G4,Concentrations,Q34,Css,"[""steady-state concentration""]",Drug concentration at steady state during a constant rate intravenous infusion.,mass/volume
G4,Concentrations,Q35,Css_ratio,"[""steady-state concentration ratio""]",The ratio of drug concentrations at steady state (drug interaction parameter).,
G4,Concentrations,Q37,Ctrough,"[""cpre"", ""pre-dose level"", ""trough concentration"", ""trough level"", ""trough""]",Drug concentration observed immediately before the next dose is administered.,mass/volume
G4,Concentrations,Q86,C0,"[""extrapolated concentration"", ""predicted drug concentration at time zero""]",Observed drug concentration extrapolated to time 0. ,(mass*time)/volume
G4,Concentrations,Q71,Cavg,"[""cav"", ""cave"", ""caverage"", ""average concentration""]",Average drug concentration observed across time points.,mass/volume
G4,Concentrations,Q75,Ct,,"Drug concentration at time (or day) t following administration of a dose e.g C4hr, concentration on day 7",mass/volume
G5,Half-Lives,Q57,t1/2z,"[""t1/2"", ""t1/2el"", ""t1/2λz"", ""k10 t1/2"", ""t1/2app"", ""t1/2ke"", ""terminal t1/2"", ""apparent terminal t1/2"", ""elimination t1/2"", ""t1/2 elimination"", ""terminal elimination t1/2"", ""effective t1/2"", ""t1/2 lambda zeta""]","Half-life of the terminal elimination phase, representing the final, slow decline in drug concentration after distribution equilibrium is reached.",time
G5,Half-Lives,Q58,t1/2_ratio,,"Ratio of terminal half-life values, typically used to assess the effect of drug interactions on systemic elimination.",
G5,Half-Lives,Q59,t1/2α,"[""distribution t1/2"", ""fast t1/2"", ""initial t1/2"", ""t1/2 alpha""]","Half-life of the initial (fast) distribution phase, reflecting rapid movement of drug from the central compartment to peripheral tissues.",time
G5,Half-Lives,Q60,t1/2β,"[""t1/2"", ""terminal t1/2"", ""secondary t1/2"", ""2nd t1/2"", ""slow t1/2"", ""t1/2 beta""]","Terminal half-life representing the slowest phase of drug elimination in a two-compartment model, equivalent to t₁/₂z. In a three-compartment model it refers to the second phase of three phases. ",time
G5,Half-Lives,Q89,t1/2γ,"[""t1/2"", ""terminal t1/2"", ""3rd t1/2"", ""t1/2 gamma""]","Half-life of the terminal elimination phase in a three-compartment model, representing the slowest and final phase of drug decline.
",time
G5,Half-Lives,Q95,t1/2ka ,"[""t1/2 abs"", ""t1/2ab"", ""absorption t1/2"", ""k01 t1/2""]","Half-life of the absorption phase, describing the time it takes for half the administered dose to be absorbed into systemic circulation.",time
G6,Rate Constants,Q47,kel,"[""λ"", ""λz"", ""k"", ""ke"", ""kelimination"", ""k10"", ""elimination rate"", ""first-order elimination rate"", ""elimination rate constant"", ""disappearance rate constant""]",Elimination rate constant.,1/time
G6,Rate Constants,Q48,kcomp,"[""distribution rate constant"", ""transfer rate constant"", ""transfer rate constant from central to peripheral compartment"", ""transfer rate constant from peripheral to central compartment"", ""rate constant for transfer from central to peripheral compartment"", ""rate constant for transfer from peripheral to central compartment"",  ""k12"", ""k21"", ""k13"", ""k31"", ""k24"", ""k42"", ""k23"", ""k32"", ""k34"", ""k43"", ]","Micro-rate constants governing drug distribution between kinetic compartments in a multi-compartment model e.g. k12, k43 etc. ",1/time
G6,Rate Constants,Q49,kabs,"[""k01"", ""ka"", ""k(a)"", ""kab"", ""kabs"", ""absorption rate constant"", ""absorption constant"", ""absorption rate"", ""first-order absorption rate""]",Absorption rate constant.,1/time
G6,Rate Constants,Q50,kexcr,"[""urinary excretion rate constant"", ""k_excr"", ""k_excretion""]",Urinary excretion rate constant.,1/time
G6,Rate Constants,Q51,kmet,"[""km"", ""kmet"", ""k_metabolite"", ""metabolite elimination rate constant""]",Metabolite elimination rate constant.,1/time
G6,Rate Constants,Q67,λ1,"[""alpha"", ""α""]",Macro-rate constant describing the fast phase of drug disposition in a multi-compartment model.,mass/time
G6,Rate Constants,Q68,λ2,"[""beta"", ""β""]",Macro-rate constant describing the slow phase of drug disposition in a multi-compartment model.,mass/time
G7,Time Metrics,Q56,tmax,"[""tpeak"", ""peak time"", ""time to maximum concentration"", ""time to Cmax"", ""time to peak concentration"", ""time to peak plasma concentration"", ""maximum time to Cmax""]",Time at which the highest drug concentration occurs following administration of a dose.,time
G7,Time Metrics,Q93,tmax_ratio,,Ratio of times at which the highest drug concentration occurs following administration of a dose.,
G7,Time Metrics,Q83,tlag ,"[""alag"", ""absorption lag time""]",Drug absorption lag time.,time
G7,Time Metrics,Q72,tss,"[""time to steady state""]",Time at which the steady-state drug concentration occurs following administration of a dose.,time
G7,Time Metrics,Q53,MRT,"[""mean residence time"", ""mrt0-t"", ""mrt0-inf"", ""mrtinf"", ""mrtlast""]",Mean time a molecule resides in body (include 0-t or 0-inf).,time
G7,Time Metrics,Q73,MAT,"[""mean absorption time""]",Mean time required for a drug to be absorbed into systemic circulation after extravascular administration.,time 
G7,Time Metrics,Q81,MTT,"[""mean transit time""]",Mean time required for a drug molecule to transit through the body from administration to elimination.,
G8,Volumes,Q61,V,"[""Vd"", ""Vz"", ""V_beta"", ""V_gamma"", ""distribution volume"", ""volume of distribution"", ""volume""]","Volume of distribution based on drug concentration, including general (Vd) and terminal-phase estimates (Vz/V_beta).",volume
G8,Volumes,Q63,V1,"[""Vc"", ""central volume"", ""central Vd""]",Volume of distribution of the central compartment.,volume
G8,Volumes,Q64,V2,"[""Vp"", ""Vp1"", ""peripheral volume"", ""peripheral Vd""]",Volume of distribution of the peripheral compartment.,volume
G8,Volumes,Q77,V3,"[""Vp2"", ""second peripheral volume"", ""second peripheral Vd""]",Volume of distribution of the second peripheral compartment in a three compartment model.,volume
G8,Volumes,Q76,V/F,"[""Vz/F"", ""Vd/F"", ""apparent volume"", ""apparent volume of distribution""]",Volume of distribution adjusted for bioavailability (F).,volume
G8,Volumes,Q290,V1/F,"[""V1_F"", ""Vc/F"", ""apparent central volume"", ""apparent volume of distribution, central compartment""]",Volume of distribution of the central compartment adjusted for bioavailability (F). ,volume
G8,Volumes,Q82,V2/F,"[""Vp/f"", ""apparent peripheral volume"", ""apparent volume of distribution, peripheral compartment""]",Volume of distribution of the peripheral compartment adjusted for bioavailability (F). ,volume
G8,Volumes,Q78,V3/F,"[""Vp2/f"", ""apparent second peripheral volume"", ""apparent volume of distribution, second peripheral compartment""]","Volume of distribtuion of second peripheral compartment in a three compartment model, adjusted for bioavailability (F).",volume
G8,Volumes,Q65,Vss,"[""steady state volume"", ""volume at steady state""]",Volume of distribution under steady state concentration.,volume
G9,Metabolism & Extraction,Q66,Vmax,"[""maximum enzyme activity""]",Maximum rate of metabolism by an enzymatically mediated reaction.,volume
G9,Metabolism & Extraction,Q1,Km,"[""michaelis menten constant""]",Measure of the affinity of an enzyme for its substrate.,"
mass/volume"
G9,Metabolism & Extraction,Q38,E,"[""extraction ratio""]","The ratio between blood clearance, CLb, and blood flow.",
G9,Metabolism & Extraction,Q39,EH,"[""hepatic extraction ratio""]","The fraction of drug removed from the blood during a single pass through the liver, determined by hepatic metabolism and blood flow.",
G9,Metabolism & Extraction,Q45,fm,"[""metabolic conversion fraction""]",The fraction of drug systemically available that is converted to a metabolite.,
G9,Metabolism & Extraction,Q46,fu,"[""unbound"", ""fraction unbound"", ""fraction protein unbound"", ""free fraction"", ""protein binding ratio"", ""protein binding""]",The ratio or percentage of drug which is unbound to proteins.,
G9,Metabolism & Extraction,Q54,Qb,"[""blood flow""]",The rate at which blood is delivered to organs and tissues. ,volume/time 
G100,NIL,Q100,,[],,
